dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,train_accuracy,gen_gap,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,phase,variant
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",42,06e54a47c487,0.81,0.00144,0.8781,0.9769,0.0988,0.8695,0.9551,0.5681,0.5531,0.5617,0.5346,0.0,0.0,0.5494,0.5494,0.5594,0.554,,,0.519,0.5115,0.0092,0.0148,0.1289,2.7174,1,,confirm,sami_best
Cora,GraphSAGE,none,{},42,06e54a47c487,0.81,0.00144,0.8809,1.0,0.1191,0.8756,0.9802,0.6572,0.6528,0.6455,0.5854,0.0,0.0102,0.5596,0.5596,0.6569,0.6482,,,0.5663,0.5471,0.0129,0.0397,0.0549,0.9034,1,,confirm,none
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",42,06e54a47c487,0.81,0.00144,0.8846,1.0,0.1154,0.8812,0.9799,0.5992,0.5789,0.5815,0.5485,0.0,0.0083,0.5577,0.5577,0.5513,0.5753,,,0.5368,0.5222,0.0175,0.0305,0.0864,0.913,1,,confirm,gtd
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",42,06e54a47c487,0.81,0.00144,0.7054,0.8052,0.0997,0.6803,0.8974,0.5716,0.554,0.5734,0.5466,0.0,0.0,0.5499,0.5499,0.5713,0.554,,,0.5208,0.5088,0.0046,0.0203,0.1419,0.9212,1,,confirm,lbp
Cora,GraphSAGE,maskarmor,"{""top_k"": 1}",42,06e54a47c487,0.81,0.00144,0.8809,1.0,0.1191,0.8756,0.9264,0.5608,0.5596,0.5596,0.5,0.0,0.0,0.5596,0.5596,0.5608,0.5596,,,0.5755,0.5411,0.0,0.0,0.1191,0.9646,1,,confirm,maskarmor
Cora,GraphSAGE,advreg,"{""lam"": 0.5, ""use_lte"": false, ""use_gate"": false, ""noise_scale"": 0.0}",42,06e54a47c487,0.81,0.00144,0.8781,1.0,0.1219,0.8761,0.9808,0.6301,0.6039,0.6125,0.5586,0.0009,0.0111,0.5609,0.5609,0.6144,0.6113,,,0.552,0.5397,0.012,0.0259,0.0432,2.2149,1,,confirm,advreg
Cora,GraphSAGE,sami,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""noise_scale"": 0.35, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05}",123,06e54a47c487,0.81,0.00144,0.8717,0.9861,0.1145,0.8589,0.9491,0.5733,0.5466,0.566,0.5392,0.0,0.0157,0.5572,0.5572,0.5718,0.5512,,,0.5191,0.5115,0.0102,0.012,0.1233,2.7663,1,,confirm,sami_best
Cora,GraphSAGE,none,{},123,06e54a47c487,0.81,0.00144,0.8707,1.0,0.1293,0.8586,0.9783,0.6531,0.6482,0.6439,0.578,0.0,0.0212,0.5646,0.5646,0.6528,0.6445,,,0.5776,0.5512,0.0139,0.0323,0.0623,0.9646,1,,confirm,none
Cora,GraphSAGE,gtd,"{""gamma"": 1.0, ""stage1_frac"": 0.5, ""pseudo_conf"": 0.8}",123,06e54a47c487,0.81,0.00144,0.868,0.9991,0.1311,0.8588,0.9765,0.5885,0.5679,0.5838,0.5476,0.0,0.0092,0.5656,0.5656,0.5668,0.5716,,,0.5489,0.5268,0.0055,0.024,0.1008,0.9247,1,,confirm,gtd
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",123,06e54a47c487,0.81,0.00144,0.7184,0.8098,0.0914,0.6922,0.8958,0.5584,0.5466,0.5472,0.5162,0.0,0.0,0.5457,0.5457,0.5591,0.542,,,0.5301,0.5162,0.0065,0.0222,0.1461,0.9054,1,,confirm,lbp
